loser_age,loser_id,loser_name,loser_rank,winner_age,winner_id,winner_name,winner_rank
20.73648186,200025,Ludmila Cervanova,131,24.03832991,200088,Adriana Gersi,75
26.17111567,200075,Jing Qian Yi,96,24.82409309,200085,Ai Sugiyama,22
20.54209446,204465,Susanne Filipp,549,20.12867899,201352,Akiko Morigami,280
22.48049281,200093,Amelie Cocheteux,126,26.82272416,200019,Alexandra Fusai,159
18.43394935,201383,Marie Eve Pelletier,226,19.85489391,200083,Alexandra Stevenson,75
20.58316222,200765,Katalin Marosi,104,19.37303217,200008,Alicia Molik,133
26.6201232,200682,Joannette Kruger,101,23.24435318,200121,Alina Jidkova,96
20.1615332,200126,Marissa Gould,78,19.76728268,201206,Allison Bradshaw,276
23.22518823,200009,Tamarine Tanasugarn,43,28.81314168,200064,Amanda Coetzer,13
17.91649555,200069,Nadia Petrova,59,24.23819302,200100,Amanda Hopmans,98
22.95687885,200121,Alina Jidkova,124,21.77138946,200093,Amelie Cocheteux,64
23.58110883,200040,Anna Smashnova,47,20.61327858,200065,Amelie Mauresmo,14
28.63791923,200017,Arantxa Sanchez Vicario,10,27.88227242,200041,Amy Frazier,20
18.40930869,201079,Hannah Collin,346,17.96303901,201286,Anabel Medina Garrigues,178
17.99863107,201305,Eleni Daniilidou,274,19.19780972,200772,Anastasia Myskina,55
24.52566735,200106,Angeles Montolio,58,22.75427789,200090,Anca Barna,130
24.53935661,200124,Anne Kremer,34,23.78918549,200745,Andrea Glass,248
26.93771389,200006,Karina Habsudova,70,24.92813142,200106,Angeles Montolio,50
26.74606434,200014,Tzipi Obziler,214,26.28884326,200013,Angelica Gavaldon,320
21.13347023,200109,Nathalie Dechy,22,25.34976044,200081,Anke Huber,16
21.29774127,200767,Holly Parkinson,91,25.76865161,200058,Anna Foldenyi Dicker,132
25.86995209,200051,Irina Spirlea,40,18.66940452,200113,Anna Kournikova,11
27.09924709,200682,Joannette Kruger,61,24.23271732,200040,Anna Smashnova,46
18.29158111,201419,Na Li,136,20.84325804,202218,Anna Zaporozhanova,314
22.18206708,200068,Lilia Osterloh,81,20.88706366,200070,Anne Gaelle Sidot,27
19.50992471,200083,Alexandra Stevenson,42,24.67351129,200124,Anne Kremer,41
27.8329911,200057,Erika De Lone,81,23.56741958,200717,Anne Miller,866
18.0698152,200003,Justine Henin,90,28.5229295,200017,Arantxa Sanchez Vicario,9
19.08829569,200083,Alexandra Stevenson,36,24.58863792,200084,Asa Svensson,59
20.84325804,200027,Magui Serna,39,26.69130732,200094,Barbara Rittner,59
21.724846,200044,Denisa Chladkova,52,24.64065708,200032,Barbara Schett,22
17.48117728,200777,Marta Marrero,63,17.86173854,201296,Bianka Lamade,201
18.57357974,204888,Ljiljana Nanusevic,609,19.82477755,207152,Bree Calderwood,927
29.27583847,200715,Mariaan De Swardt,247,20.42984257,200115,Brie Rippner,126
25.65092402,200024,Maria Vento Kabchi,88,20.10677618,200023,Bryanne Stewart,275
28.15879535,200037,Sabine Appelmans,26,21.33607118,200072,Cara Black,49
25.66461328,200012,Jana Nejedly,96,20.58863792,201293,Catalina Castano,236
24.82409309,200085,Ai Sugiyama,22,24.91444216,200706,Catalina Cristea,116
24.5119781,200077,Jennifer Capriati,14,24.62149213,200039,Chanda Rubin,16
17.70841889,204580,Biljana Dimovska,987,17.87268994,201289,Christina Wheeler,377
24.87063655,202748,Tomoe Hotta,366,21.93292266,200753,Cindy Watson,309
21.69199179,201284,Tatiana Poutchek,128,17.08145106,201380,Claudine Schaul,525
18.53251198,200056,Jelena Kostanic Tosic,98,27.75359343,200049,Conchita Martinez,13
24.5229295,200127,Sarah Pitkowski Malcor,45,22.31895962,200125,Corina Morariu,34
21.59342916,200732,Magdalena Grzybowska,80,25.78781656,200066,Cristina Torrens Valero,73
21.22655715,200065,Amelie Mauresmo,14,17.54962355,201083,Daja Bedanova,85
20.7063655,200052,Olga Barabanschikova,67,23.39493498,200720,Dally Randriantefy,262
32.92265572,200097,Nathalie Tauziat,7,17.4072553,201290,Daniela Hantuchova,136
18.6255989,201207,Ansley Cargill,259,24.22997947,201208,Dawn Buth,143
21.98220397,200050,Sandra Kleinova,89,21.22655715,200044,Denisa Chladkova,41
19.137577,201754,Leanne Baker,327,20.31759069,203079,Diana Gherghi,673
23.9835729,200063,Tatiana Panova,43,27.18685832,200080,Dominique Monami,16
19.51266256,201295,Wynne Prakusya,112,23.24709103,202071,Dragana Zaric,209
25.26488706,201624,Eun Ha Kim,221,19.02532512,201856,Ekaterina Sysoeva,350
25.50581793,202134,Katie Schlukebir,619,17.64271047,200764,Elena Bovina,140
25.25393566,200081,Anke Huber,16,18.39014374,200108,Elena Dementieva,59
27.137577,200036,Nicole Pratt,48,24.62696783,200048,Elena Likhovtseva,16
29.62080767,200112,Julie Halard Decugis,9,29.67830253,200042,Els Callens,85
19.63586585,200103,Evie Dominikovic,154,20.60780287,200104,Emilie Loit,97
